"radios","LINK","comuna","fraccion","radio","CO_FRAC_RA","Hasta   0.50 personas por cuarto","0.51  -  0.99  personas por cuarto","1.00  -  1.49  personas por cuarto","1.50  -  1.99  personas por cuarto","2.00  -  3.00  personas por cuarto","Más de  3.00 personas por cuarto"
"AREA#020012102","020012102",1,21,2,"1_21_2",25,13,33,5,17,7
"AREA#020012103","020012103",1,21,3,"1_21_3",25,15,25,3,30,3
"AREA#020012104","020012104",1,21,4,"1_21_4",24,13,29,5,25,5
"AREA#020012105","020012105",1,21,5,"1_21_5",30,15,29,5,17,4
"AREA#020012106","020012106",1,21,6,"1_21_6",23,14,40,5,19,0
"AREA#020012107","020012107",1,21,7,"1_21_7",27,11,34,3,20,5
"AREA#020012108","020012108",1,21,8,"1_21_8",24,18,40,5,12,1
"AREA#020012109","020012109",1,21,9,"1_21_9",30,13,38,5,13,1
"AREA#020012110","020012110",1,21,10,"1_21_10",26,10,40,3,19,2
"AREA#020012201","020012201",1,22,1,"1_22_1",32,20,36,5,7,0
"AREA#020012202","020012202",1,22,2,"1_22_2",36,17,36,5,7,1
"AREA#020012203","020012203",1,22,3,"1_22_3",33,17,31,4,12,3
"AREA#020012204","020012204",1,22,4,"1_22_4",42,10,31,6,10,1
"AREA#020012205","020012205",1,22,5,"1_22_5",39,12,38,8,3,0
"AREA#020012206","020012206",1,22,6,"1_22_6",34,12,32,7,12,3
"AREA#020012207","020012207",1,22,7,"1_22_7",38,5,28,8,18,3
"AREA#020012208","020012208",1,22,8,"1_22_8",31,8,45,5,11,1
"AREA#020012209","020012209",1,22,9,"1_22_9",28,18,38,5,9,3
"AREA#020012210","020012210",1,22,10,"1_22_10",29,13,35,6,17,1
"AREA#020012301","020012301",1,23,1,"1_23_1",38,20,32,6,4,0
"AREA#020012302","020012302",1,23,2,"1_23_2",37,23,32,3,6,0
"AREA#020012303","020012303",1,23,3,"1_23_3",38,16,36,4,6,0
"AREA#020012304","020012304",1,23,4,"1_23_4",25,11,29,5,20,10
"AREA#020012305","020012305",1,23,5,"1_23_5",31,21,27,7,11,2
"AREA#020012306","020012306",1,23,6,"1_23_6",50,19,24,4,3,0
"AREA#020012307","020012307",1,23,7,"1_23_7",34,12,35,4,12,3
"AREA#020012308","020012308",1,23,8,"1_23_8",39,21,29,2,8,2
"AREA#020012309","020012309",1,23,9,"1_23_9",34,18,34,6,6,1
"AREA#020012310","020012310",1,23,10,"1_23_10",24,9,39,5,18,5
"AREA#020012401","020012401",1,24,1,"1_24_1",32,13,36,2,17,0
"AREA#020012402","020012402",1,24,2,"1_24_2",39,19,30,3,8,1
"AREA#020012403","020012403",1,24,3,"1_24_3",27,8,47,7,10,2
"AREA#020012404","020012404",1,24,4,"1_24_4",35,18,35,3,8,0
"AREA#020012405","020012405",1,24,5,"1_24_5",39,14,35,5,7,1
"AREA#020012406","020012406",1,24,6,"1_24_6",42,16,28,6,7,0
"AREA#020012407","020012407",1,24,7,"1_24_7",39,14,34,5,5,2
"AREA#020012408","020012408",1,24,8,"1_24_8",28,14,32,8,17,2
"AREA#020012501","020012501",1,25,1,"1_25_1",38,23,29,2,7,1
"AREA#020012502","020012502",1,25,2,"1_25_2",42,20,27,6,5,1
"AREA#020012503","020012503",1,25,3,"1_25_3",47,11,33,5,4,0
"AREA#020012504","020012504",1,25,4,"1_25_4",31,17,37,7,8,1
"AREA#020012505","020012505",1,25,5,"1_25_5",42,14,35,6,4,0
"AREA#020012506","020012506",1,25,6,"1_25_6",28,13,38,5,15,2
"AREA#020012507","020012507",1,25,7,"1_25_7",36,7,32,11,13,1
"AREA#020012508","020012508",1,25,8,"1_25_8",34,15,35,4,11,0
"AREA#020012509","020012509",1,25,9,"1_25_9",31,10,18,3,20,18
"AREA#020012510","020012510",1,25,10,"1_25_10",39,19,28,4,8,2
"AREA#020012511","020012511",1,25,11,"1_25_11",44,15,29,4,6,1
"AREA#020012601","020012601",1,26,1,"1_26_1",25,6,41,6,18,4
"AREA#020012602","020012602",1,26,2,"1_26_2",30,14,37,4,13,3
"AREA#020012603","020012603",1,26,3,"1_26_3",38,10,34,6,12,1
"AREA#020012604","020012604",1,26,4,"1_26_4",34,18,32,5,11,0
"AREA#020012605","020012605",1,26,5,"1_26_5",34,13,31,7,12,4
"AREA#020012606","020012606",1,26,6,"1_26_6",38,14,34,6,7,1
"AREA#020012607","020012607",1,26,7,"1_26_7",32,12,38,9,8,0
"AREA#020012608","020012608",1,26,8,"1_26_8",39,18,33,7,3,0
"AREA#020012609","020012609",1,26,9,"1_26_9",34,14,34,5,11,2
"AREA#020012701","020012701",1,27,1,"1_27_1",31,15,31,13,10,0
"AREA#020012702","020012702",1,27,2,"1_27_2",12,4,40,3,33,7
"AREA#020012703","020012703",1,27,3,"1_27_3",19,10,35,8,23,5
"AREA#020012704","020012704",1,27,4,"1_27_4",18,6,38,4,28,6
"AREA#020012705","020012705",1,27,5,"1_27_5",29,10,38,10,13,0
"AREA#020012706","020012706",1,27,6,"1_27_6",8,5,34,4,39,9
"AREA#020012707","020012707",1,27,7,"1_27_7",18,13,28,5,25,11
"AREA#020012708","020012708",1,27,8,"1_27_8",38,15,27,6,11,4
"AREA#020012709","020012709",1,27,9,"1_27_9",25,11,36,5,18,4
"AREA#020012710","020012710",1,27,10,"1_27_10",49,15,29,4,4,0
"AREA#020012801","020012801",1,28,1,"1_28_1",32,16,35,5,10,1
"AREA#020012802","020012802",1,28,2,"1_28_2",16,3,36,7,28,10
"AREA#020012803","020012803",1,28,3,"1_28_3",17,16,32,5,24,6
"AREA#020012804","020012804",1,28,4,"1_28_4",30,10,32,5,18,5
"AREA#020012805","020012805",1,28,5,"1_28_5",27,14,32,9,16,2
"AREA#020012806","020012806",1,28,6,"1_28_6",16,8,34,6,29,7
"AREA#020012807","020012807",1,28,7,"1_28_7",32,14,34,5,12,3
"AREA#020012808","020012808",1,28,8,"1_28_8",25,8,35,9,18,5
"AREA#020012809","020012809",1,28,9,"1_28_9",23,10,38,5,18,6
"AREA#020012810","020012810",1,28,10,"1_28_10",16,13,39,5,22,6
"AREA#020012811","020012811",1,28,11,"1_28_11",11,5,38,2,37,8
"AREA#020012812","020012812",1,28,12,"1_28_12",15,9,39,7,26,3
"AREA#020012813","020012813",1,28,13,"1_28_13",21,12,39,3,21,4
"AREA#020012901","020012901",1,29,1,"1_29_1",17,10,34,7,22,10
"AREA#020012902","020012902",1,29,2,"1_29_2",8,7,40,6,32,8
"AREA#020012903","020012903",1,29,3,"1_29_3",16,9,30,5,26,13
"AREA#020012904","020012904",1,29,4,"1_29_4",20,17,27,7,26,3
"AREA#020012905","020012905",1,29,5,"1_29_5",19,9,41,4,22,6
"AREA#020012906","020012906",1,29,6,"1_29_6",24,20,41,6,8,2
"AREA#020012907","020012907",1,29,7,"1_29_7",34,12,31,6,15,2
"AREA#020012908","020012908",1,29,8,"1_29_8",26,12,32,7,17,6
"AREA#020012909","020012909",1,29,9,"1_29_9",27,9,34,6,18,7
"AREA#020020101","020020101",2,1,1,"2_1_1",24,14,29,5,19,10
"AREA#020020102","020020102",2,1,2,"2_1_2",7,8,36,14,24,12
"AREA#020020201","020020201",2,2,1,"2_2_1",41,15,31,3,8,2
"AREA#020020202","020020202",2,2,2,"2_2_2",52,24,18,3,2,0
"AREA#020020203","020020203",2,2,3,"2_2_3",70,18,8,3,0,1
"AREA#020020204","020020204",2,2,4,"2_2_4",61,18,15,2,3,0
"AREA#020020205","020020205",2,2,5,"2_2_5",52,20,22,3,3,0
"AREA#020020206","020020206",2,2,6,"2_2_6",50,22,18,3,8,0
"AREA#020020207","020020207",2,2,7,"2_2_7",38,21,29,3,9,0
"AREA#020020208","020020208",2,2,8,"2_2_8",48,20,23,4,4,1
"AREA#020020301","020020301",2,3,1,"2_3_1",46,23,23,2,5,1
"AREA#020020302","020020302",2,3,2,"2_3_2",37,11,41,2,8,0
"AREA#020020303","020020303",2,3,3,"2_3_3",54,32,11,2,1,0
"AREA#020020304","020020304",2,3,4,"2_3_4",46,21,29,2,1,1
"AREA#020020305","020020305",2,3,5,"2_3_5",40,24,28,3,4,0
"AREA#020020306","020020306",2,3,6,"2_3_6",47,16,27,3,6,0
"AREA#020020307","020020307",2,3,7,"2_3_7",49,26,19,2,3,1
"AREA#020020308","020020308",2,3,8,"2_3_8",50,27,17,3,2,0
"AREA#020020401","020020401",2,4,1,"2_4_1",50,19,24,4,4,0
"AREA#020020402","020020402",2,4,2,"2_4_2",43,12,31,4,7,3
"AREA#020020403","020020403",2,4,3,"2_4_3",62,22,9,4,3,0
"AREA#020020404","020020404",2,4,4,"2_4_4",61,20,13,3,3,1
"AREA#020020405","020020405",2,4,5,"2_4_5",47,25,23,2,4,0
"AREA#020020406","020020406",2,4,6,"2_4_6",58,24,14,3,1,0
"AREA#020020407","020020407",2,4,7,"2_4_7",54,23,18,1,3,0
"AREA#020020408","020020408",2,4,8,"2_4_8",55,19,21,4,2,0
"AREA#020020409","020020409",2,4,9,"2_4_9",49,24,20,2,5,0
"AREA#020020410","020020410",2,4,10,"2_4_10",58,16,22,1,2,0
"AREA#020020501","020020501",2,5,1,"2_5_1",59,20,15,4,2,0
