"radios","LINK","comuna","fraccion","radio","CO_FRAC_RA","Hasta   0.50 personas por cuarto","0.51  -  0.99  personas por cuarto","1.00  -  1.49  personas por cuarto","1.50  -  1.99  personas por cuarto","2.00  -  3.00  personas por cuarto","Más de  3.00 personas por cuarto"
"AREA#020081205","020081205",8,12,5,"8_12_5",27,18,35,8,11,1
"AREA#020081206","020081206",8,12,6,"8_12_6",23,22,39,5,9,2
"AREA#020081207","020081207",8,12,7,"8_12_7",24,17,42,11,5,1
"AREA#020081301","020081301",8,13,1,"8_13_1",0,5,60,5,25,5
"AREA#020081302","020081302",8,13,2,"8_13_2",19,24,37,8,9,2
"AREA#020081303","020081303",8,13,3,"8_13_3",17,19,38,9,16,2
"AREA#020081304","020081304",8,13,4,"8_13_4",17,19,33,10,17,3
"AREA#020081305","020081305",8,13,5,"8_13_5",19,21,38,9,12,1
"AREA#020081306","020081306",8,13,6,"8_13_6",21,23,37,11,7,1
"AREA#020081307","020081307",8,13,7,"8_13_7",25,24,30,8,11,2
"AREA#020081308","020081308",8,13,8,"8_13_8",21,15,39,9,15,2
"AREA#020081401","020081401",8,14,1,"8_14_1",8,9,30,15,30,7
"AREA#020081402","020081402",8,14,2,"8_14_2",6,6,35,12,31,9
"AREA#020081403","020081403",8,14,3,"8_14_3",7,10,26,13,34,10
"AREA#020081404","020081404",8,14,4,"8_14_4",14,7,28,10,28,12
"AREA#020081405","020081405",8,14,5,"8_14_5",14,12,36,8,25,5
"AREA#020081406","020081406",8,14,6,"8_14_6",23,22,32,9,12,2
"AREA#020081407","020081407",8,14,7,"8_14_7",21,12,35,12,16,3
"AREA#020081408","020081408",8,14,8,"8_14_8",20,14,35,14,16,2
"AREA#020081409","020081409",8,14,9,"8_14_9",20,15,31,10,18,6
"AREA#020081410","020081410",8,14,10,"8_14_10",19,15,37,7,17,4
"AREA#020081501","020081501",8,15,1,"8_15_1",6,5,29,7,38,16
"AREA#020081502","020081502",8,15,2,"8_15_2",5,6,24,7,38,19
"AREA#020081503","020081503",8,15,3,"8_15_3",6,5,27,14,38,10
"AREA#020081504","020081504",8,15,4,"8_15_4",8,9,20,14,35,14
"AREA#020081505","020081505",8,15,5,"8_15_5",6,4,26,18,36,10
"AREA#020081506","020081506",8,15,6,"8_15_6",8,5,30,15,32,10
"AREA#020081507","020081507",8,15,7,"8_15_7",10,12,22,13,32,12
"AREA#020081508","020081508",8,15,8,"8_15_8",6,5,32,12,33,12
"AREA#020081509","020081509",8,15,9,"8_15_9",14,11,30,10,28,7
"AREA#020081510","020081510",8,15,10,"8_15_10",15,15,33,11,21,5
"AREA#020081601","020081601",8,16,1,"8_16_1",27,19,29,13,10,2
"AREA#020081602","020081602",8,16,2,"8_16_2",22,22,37,9,9,1
"AREA#020081603","020081603",8,16,3,"8_16_3",17,22,32,16,13,0
"AREA#020081604","020081604",8,16,4,"8_16_4",28,22,29,11,10,0
"AREA#020081605","020081605",8,16,5,"8_16_5",29,28,28,8,6,0
"AREA#020081606","020081606",8,16,6,"8_16_6",31,21,30,11,6,1
"AREA#020081607","020081607",8,16,7,"8_16_7",19,17,39,15,9,1
"AREA#020081608","020081608",8,16,8,"8_16_8",21,21,36,11,10,0
"AREA#020081609","020081609",8,16,9,"8_16_9",28,20,32,11,8,1
"AREA#020081610","020081610",8,16,10,"8_16_10",23,22,35,12,8,0
"AREA#020081701","020081701",8,17,1,"8_17_1",22,28,37,9,3,0
"AREA#020081702","020081702",8,17,2,"8_17_2",28,28,35,5,5,0
"AREA#020081703","020081703",8,17,3,"8_17_3",23,9,36,9,21,2
"AREA#020081704","020081704",8,17,4,"8_17_4",41,24,29,4,1,0
"AREA#020081705","020081705",8,17,5,"8_17_5",24,21,37,13,5,0
"AREA#020090101","020090101",9,1,1,"9_1_1",32,27,33,3,4,0
"AREA#020090102","020090102",9,1,2,"9_1_2",35,26,34,4,1,0
"AREA#020090103","020090103",9,1,3,"9_1_3",36,19,34,7,3,0
"AREA#020090104","020090104",9,1,4,"9_1_4",29,23,34,7,6,0
"AREA#020090105","020090105",9,1,5,"9_1_5",33,18,32,9,7,0
"AREA#020090106","020090106",9,1,6,"9_1_6",26,15,38,10,9,1
"AREA#020090107","020090107",9,1,7,"9_1_7",30,27,30,7,5,0
"AREA#020090108","020090108",9,1,8,"9_1_8",31,18,33,9,9,1
"AREA#020090109","020090109",9,1,9,"9_1_9",22,10,45,7,16,1
"AREA#020090201","020090201",9,2,1,"9_2_1",31,24,35,6,4,0
"AREA#020090202","020090202",9,2,2,"9_2_2",32,21,35,7,5,0
"AREA#020090203","020090203",9,2,3,"9_2_3",30,24,34,8,3,1
"AREA#020090204","020090204",9,2,4,"9_2_4",25,16,43,8,8,0
"AREA#020090205","020090205",9,2,5,"9_2_5",29,22,38,5,6,1
"AREA#020090206","020090206",9,2,6,"9_2_6",34,25,36,2,2,0
"AREA#020090207","020090207",9,2,7,"9_2_7",25,26,41,7,2,0
"AREA#020090208","020090208",9,2,8,"9_2_8",25,29,37,7,2,0
"AREA#020090209","020090209",9,2,9,"9_2_9",28,16,39,8,8,1
"AREA#020090210","020090210",9,2,10,"9_2_10",32,26,34,6,3,0
"AREA#020090211","020090211",9,2,11,"9_2_11",31,22,35,6,5,1
"AREA#020090212","020090212",9,2,12,"9_2_12",22,22,44,7,5,0
"AREA#020090301","020090301",9,3,1,"9_3_1",23,14,32,9,17,5
"AREA#020090302","020090302",9,3,2,"9_3_2",27,15,38,10,7,2
"AREA#020090303","020090303",9,3,3,"9_3_3",37,23,28,6,5,1
"AREA#020090304","020090304",9,3,4,"9_3_4",41,26,27,4,2,0
"AREA#020090305","020090305",9,3,5,"9_3_5",36,11,36,6,11,1
"AREA#020090306","020090306",9,3,6,"9_3_6",33,22,34,6,5,0
"AREA#020090307","020090307",9,3,7,"9_3_7",38,28,28,3,3,0
"AREA#020090308","020090308",9,3,8,"9_3_8",34,38,22,4,2,0
"AREA#020090309","020090309",9,3,9,"9_3_9",37,23,32,6,3,0
"AREA#020090310","020090310",9,3,10,"9_3_10",34,33,29,4,1,0
"AREA#020090311","020090311",9,3,11,"9_3_11",37,31,24,4,5,0
"AREA#020090312","020090312",9,3,12,"9_3_12",32,29,32,4,3,0
"AREA#020090313","020090313",9,3,13,"9_3_13",20,25,33,8,11,4
"AREA#020090401","020090401",9,4,1,"9_4_1",34,26,32,6,3,0
"AREA#020090402","020090402",9,4,2,"9_4_2",24,21,39,6,8,1
"AREA#020090403","020090403",9,4,3,"9_4_3",30,20,35,8,6,1
"AREA#020090404","020090404",9,4,4,"9_4_4",24,24,43,5,4,0
"AREA#020090405","020090405",9,4,5,"9_4_5",24,20,39,7,9,0
"AREA#020090406","020090406",9,4,6,"9_4_6",33,25,33,7,2,0
"AREA#020090407","020090407",9,4,7,"9_4_7",31,25,34,6,4,0
"AREA#020090408","020090408",9,4,8,"9_4_8",23,26,43,5,3,0
"AREA#020090409","020090409",9,4,9,"9_4_9",24,26,37,7,5,1
"AREA#020090410","020090410",9,4,10,"9_4_10",30,20,39,6,4,0
"AREA#020090411","020090411",9,4,11,"9_4_11",29,25,36,6,4,0
"AREA#020090501","020090501",9,5,1,"9_5_1",23,22,38,7,9,1
"AREA#020090502","020090502",9,5,2,"9_5_2",34,22,34,6,3,1
"AREA#020090503","020090503",9,5,3,"9_5_3",31,21,38,5,5,0
"AREA#020090504","020090504",9,5,4,"9_5_4",28,23,36,7,5,1
"AREA#020090505","020090505",9,5,5,"9_5_5",31,20,37,6,5,1
"AREA#020090506","020090506",9,5,6,"9_5_6",30,24,32,8,6,0
"AREA#020090507","020090507",9,5,7,"9_5_7",31,20,37,8,4,0
"AREA#020090508","020090508",9,5,8,"9_5_8",27,25,36,4,7,0
"AREA#020090509","020090509",9,5,9,"9_5_9",34,16,39,5,5,0
"AREA#020090510","020090510",9,5,10,"9_5_10",22,29,38,6,4,1
"AREA#020090511","020090511",9,5,11,"9_5_11",24,26,37,6,6,2
"AREA#020090601","020090601",9,6,1,"9_6_1",26,22,33,8,9,2
"AREA#020090602","020090602",9,6,2,"9_6_2",26,23,35,9,6,0
"AREA#020090603","020090603",9,6,3,"9_6_3",29,22,35,7,6,1
"AREA#020090604","020090604",9,6,4,"9_6_4",27,23,35,7,7,0
"AREA#020090605","020090605",9,6,5,"9_6_5",27,24,35,6,8,0
"AREA#020090606","020090606",9,6,6,"9_6_6",26,26,37,5,6,0
"AREA#020090607","020090607",9,6,7,"9_6_7",25,24,39,6,5,1
"AREA#020090608","020090608",9,6,8,"9_6_8",25,19,38,6,11,2
"AREA#020090609","020090609",9,6,9,"9_6_9",24,17,44,9,5,1
"AREA#020090610","020090610",9,6,10,"9_6_10",23,18,41,5,11,1
"AREA#020090611","020090611",9,6,11,"9_6_11",18,22,46,5,9,1
"AREA#020090612","020090612",9,6,12,"9_6_12",23,25,36,6,8,2
"AREA#020090701","020090701",9,7,1,"9_7_1",23,28,35,7,7,0
"AREA#020090702","020090702",9,7,2,"9_7_2",29,26,35,4,5,0
"AREA#020090703","020090703",9,7,3,"9_7_3",29,28,34,5,4,0
"AREA#020090704","020090704",9,7,4,"9_7_4",23,29,37,6,5,0
"AREA#020090705","020090705",9,7,5,"9_7_5",25,30,34,5,7,0
"AREA#020090706","020090706",9,7,6,"9_7_6",23,23,43,5,5,0
"AREA#020090707","020090707",9,7,7,"9_7_7",24,29,34,6,7,0
"AREA#020090708","020090708",9,7,8,"9_7_8",29,24,35,7,5,0
"AREA#020090709","020090709",9,7,9,"9_7_9",32,20,39,4,4,0
"AREA#020090710","020090710",9,7,10,"9_7_10",25,26,35,7,8,0
"AREA#020090711","020090711",9,7,11,"9_7_11",28,21,39,8,4,1
"AREA#020090712","020090712",9,7,12,"9_7_12",18,30,36,5,11,1
"AREA#020090713","020090713",9,7,13,"9_7_13",28,22,35,6,7,1
"AREA#020090714","020090714",9,7,14,"9_7_14",29,22,37,8,2,1
"AREA#020090801","020090801",9,8,1,"9_8_1",27,20,35,8,9,0
"AREA#020090802","020090802",9,8,2,"9_8_2",35,24,35,4,2,0
"AREA#020090803","020090803",9,8,3,"9_8_3",29,31,33,4,3,0
"AREA#020090804","020090804",9,8,4,"9_8_4",34,13,37,10,6,0
"AREA#020090805","020090805",9,8,5,"9_8_5",24,20,42,7,6,1
"AREA#020090806","020090806",9,8,6,"9_8_6",17,20,42,9,11,1
"AREA#020090807","020090807",9,8,7,"9_8_7",22,18,38,12,8,2
"AREA#020090808","020090808",9,8,8,"9_8_8",20,16,41,10,11,2
"AREA#020090809","020090809",9,8,9,"9_8_9",24,20,36,8,12,1
"AREA#020090810","020090810",9,8,10,"9_8_10",25,17,37,6,12,2
"AREA#020090811","020090811",9,8,11,"9_8_11",24,19,37,8,12,1
"AREA#020090812","020090812",9,8,12,"9_8_12",24,21,35,9,9,1
"AREA#020090813","020090813",9,8,13,"9_8_13",22,23,38,10,8,0
"AREA#020090901","020090901",9,9,1,"9_9_1",29,24,29,10,7,1
"AREA#020090902","020090902",9,9,2,"9_9_2",34,16,39,5,6,1
"AREA#020090903","020090903",9,9,3,"9_9_3",28,18,37,6,9,1
"AREA#020090904","020090904",9,9,4,"9_9_4",26,24,34,10,6,0
"AREA#020090905","020090905",9,9,5,"9_9_5",31,22,38,5,3,1
"AREA#020090906","020090906",9,9,6,"9_9_6",22,28,37,8,5,0
"AREA#020090907","020090907",9,9,7,"9_9_7",27,29,38,4,3,0
"AREA#020090908","020090908",9,9,8,"9_9_8",23,22,42,6,6,0
"AREA#020090909","020090909",9,9,9,"9_9_9",24,27,33,9,6,2
"AREA#020090910","020090910",9,9,10,"9_9_10",24,28,34,7,5,1
"AREA#020090911","020090911",9,9,11,"9_9_11",29,17,39,5,9,1
"AREA#020090912","020090912",9,9,12,"9_9_12",32,26,31,6,4,1
"AREA#020090913","020090913",9,9,13,"9_9_13",19,24,38,10,8,0
"AREA#020090914","020090914",9,9,14,"9_9_14",22,26,42,5,5,1
"AREA#020091001","020091001",9,10,1,"9_10_1",31,23,34,5,6,1
"AREA#020091002","020091002",9,10,2,"9_10_2",29,24,35,4,8,0
"AREA#020091003","020091003",9,10,3,"9_10_3",26,25,32,9,6,2
"AREA#020091004","020091004",9,10,4,"9_10_4",27,22,34,8,8,0
"AREA#020091005","020091005",9,10,5,"9_10_5",28,22,35,8,7,1
"AREA#020091006","020091006",9,10,6,"9_10_6",29,19,32,10,7,3
"AREA#020091007","020091007",9,10,7,"9_10_7",26,22,40,8,5,0
"AREA#020091008","020091008",9,10,8,"9_10_8",34,23,31,7,5,0
"AREA#020091009","020091009",9,10,9,"9_10_9",25,23,35,11,6,0
"AREA#020091010","020091010",9,10,10,"9_10_10",34,16,35,11,5,0
"AREA#020091011","020091011",9,10,11,"9_10_11",28,30,33,7,2,0
"AREA#020091012","020091012",9,10,12,"9_10_12",34,26,33,4,2,0
"AREA#020091101","020091101",9,11,1,"9_11_1",27,26,34,7,6,0
"AREA#020091102","020091102",9,11,2,"9_11_2",26,22,32,8,11,2
"AREA#020091103","020091103",9,11,3,"9_11_3",24,22,40,8,5,1
"AREA#020091104","020091104",9,11,4,"9_11_4",30,25,34,5,6,1
"AREA#020091105","020091105",9,11,5,"9_11_5",25,25,38,4,6,2
"AREA#020091106","020091106",9,11,6,"9_11_6",34,21,31,6,7,1
"AREA#020091107","020091107",9,11,7,"9_11_7",28,22,36,6,6,2
"AREA#020091108","020091108",9,11,8,"9_11_8",26,25,36,6,6,2
"AREA#020091109","020091109",9,11,9,"9_11_9",26,21,35,6,9,2
"AREA#020091110","020091110",9,11,10,"9_11_10",26,23,30,9,9,3
"AREA#020091111","020091111",9,11,11,"9_11_11",27,27,34,8,4,0
"AREA#020091112","020091112",9,11,12,"9_11_12",20,22,36,6,13,3
"AREA#020091201","020091201",9,12,1,"9_12_1",23,21,35,7,12,1
"AREA#020091202","020091202",9,12,2,"9_12_2",38,26,27,6,3,1
"AREA#020091203","020091203",9,12,3,"9_12_3",22,18,40,12,7,0
"AREA#020091204","020091204",9,12,4,"9_12_4",24,18,38,9,10,1
"AREA#020091205","020091205",9,12,5,"9_12_5",28,20,36,7,8,0
"AREA#020091206","020091206",9,12,6,"9_12_6",21,19,42,8,9,1
"AREA#020091207","020091207",9,12,7,"9_12_7",31,19,33,7,8,2
"AREA#020091208","020091208",9,12,8,"9_12_8",23,28,34,8,7,1
"AREA#020091209","020091209",9,12,9,"9_12_9",22,28,35,7,7,1
"AREA#020091210","020091210",9,12,10,"9_12_10",22,17,40,10,11,0
"AREA#020091211","020091211",9,12,11,"9_12_11",25,18,37,6,11,2
"AREA#020091212","020091212",9,12,12,"9_12_12",26,18,35,9,11,1
"AREA#020091301","020091301",9,13,1,"9_13_1",24,22,37,7,10,1
"AREA#020091302","020091302",9,13,2,"9_13_2",29,24,32,6,7,2
"AREA#020091303","020091303",9,13,3,"9_13_3",21,18,38,9,12,3
"AREA#020091304","020091304",9,13,4,"9_13_4",20,24,34,11,10,1
"AREA#020091305","020091305",9,13,5,"9_13_5",23,18,37,9,10,3
"AREA#020091306","020091306",9,13,6,"9_13_6",20,18,34,10,15,3
"AREA#020091307","020091307",9,13,7,"9_13_7",21,20,31,9,15,4
"AREA#020091401","020091401",9,14,1,"9_14_1",27,22,33,8,9,1
"AREA#020091402","020091402",9,14,2,"9_14_2",22,22,35,11,10,1
"AREA#020091403","020091403",9,14,3,"9_14_3",25,16,32,8,15,4
"AREA#020091404","020091404",9,14,4,"9_14_4",15,17,31,9,22,6
"AREA#020091405","020091405",9,14,5,"9_14_5",7,9,27,17,31,10
"AREA#020091406","020091406",9,14,6,"9_14_6",7,6,27,15,31,15
"AREA#020091407","020091407",9,14,7,"9_14_7",9,6,25,14,33,12
"AREA#020091408","020091408",9,14,8,"9_14_8",8,6,29,13,31,13
"AREA#020091409","020091409",9,14,9,"9_14_9",14,12,34,12,23,6
"AREA#020091410","020091410",9,14,10,"9_14_10",8,6,31,13,33,9
"AREA#020091501","020091501",9,15,1,"9_15_1",27,18,36,7,11,0
"AREA#020091502","020091502",9,15,2,"9_15_2",19,19,35,8,16,2
"AREA#020091503","020091503",9,15,3,"9_15_3",24,19,34,10,12,1
"AREA#020091504","020091504",9,15,4,"9_15_4",18,18,35,13,14,2
"AREA#020091505","020091505",9,15,5,"9_15_5",26,22,36,8,8,0
"AREA#020091506","020091506",9,15,6,"9_15_6",22,23,38,7,10,1
"AREA#020091507","020091507",9,15,7,"9_15_7",25,18,40,8,9,1
"AREA#020091508","020091508",9,15,8,"9_15_8",23,22,41,5,5,5
"AREA#020091509","020091509",9,15,9,"9_15_9",18,14,37,12,18,1
"AREA#020091510","020091510",9,15,10,"9_15_10",22,17,42,10,8,1
"AREA#020091511","020091511",9,15,11,"9_15_11",23,18,39,11,9,1
"AREA#020091601","020091601",9,16,1,"9_16_1",21,22,38,9,9,1
"AREA#020091602","020091602",9,16,2,"9_16_2",33,23,29,8,7,1
"AREA#020091603","020091603",9,16,3,"9_16_3",33,16,30,7,10,3
"AREA#020091604","020091604",9,16,4,"9_16_4",22,21,36,11,8,2
"AREA#020091605","020091605",9,16,5,"9_16_5",21,24,36,10,9,0
"AREA#020091606","020091606",9,16,6,"9_16_6",18,19,40,9,12,2
"AREA#020091607","020091607",9,16,7,"9_16_7",28,21,36,8,7,0
"AREA#020091608","020091608",9,16,8,"9_16_8",23,27,35,10,5,1
"AREA#020091609","020091609",9,16,9,"9_16_9",26,19,37,9,9,1
"AREA#020091610","020091610",9,16,10,"9_16_10",25,18,31,9,16,1
"AREA#020091611","020091611",9,16,11,"9_16_11",24,20,40,13,3,0
"AREA#020091612","020091612",9,16,12,"9_16_12",19,25,34,11,10,1
"AREA#020091613","020091613",9,16,13,"9_16_13",31,25,31,7,6,0
"AREA#020100101","020100101",10,1,1,"10_1_1",32,23,27,6,10,3
"AREA#020100102","020100102",10,1,2,"10_1_2",27,26,37,7,3,0
"AREA#020100103","020100103",10,1,3,"10_1_3",28,25,40,3,4,0
"AREA#020100104","020100104",10,1,4,"10_1_4",27,27,31,10,5,0
"AREA#020100105","020100105",10,1,5,"10_1_5",26,32,33,6,3,0
"AREA#020100106","020100106",10,1,6,"10_1_6",24,26,37,7,6,0
"AREA#020100107","020100107",10,1,7,"10_1_7",23,27,37,5,6,1
"AREA#020100108","020100108",10,1,8,"10_1_8",30,21,41,5,3,0
"AREA#020100201","020100201",10,2,1,"10_2_1",26,30,37,3,4,0
"AREA#020100202","020100202",10,2,2,"10_2_2",37,23,32,5,3,0
"AREA#020100203","020100203",10,2,3,"10_2_3",28,27,35,4,6,0
"AREA#020100204","020100204",10,2,4,"10_2_4",28,24,37,9,3,0
"AREA#020100205","020100205",10,2,5,"10_2_5",26,28,38,3,3,1
"AREA#020100206","020100206",10,2,6,"10_2_6",24,27,41,6,3,0
"AREA#020100207","020100207",10,2,7,"10_2_7",28,28,34,4,6,0
"AREA#020100208","020100208",10,2,8,"10_2_8",27,29,36,6,2,0
"AREA#020100301","020100301",10,3,1,"10_3_1",30,28,32,7,2,0
"AREA#020100302","020100302",10,3,2,"10_3_2",31,29,33,4,2,0
"AREA#020100303","020100303",10,3,3,"10_3_3",39,27,28,3,2,0
"AREA#020100304","020100304",10,3,4,"10_3_4",44,32,22,2,1,0
"AREA#020100305","020100305",10,3,5,"10_3_5",30,33,29,6,2,1
"AREA#020100306","020100306",10,3,6,"10_3_6",31,25,33,6,5,0
"AREA#020100307","020100307",10,3,7,"10_3_7",35,26,30,5,4,0
"AREA#020100308","020100308",10,3,8,"10_3_8",30,25,34,4,6,1
"AREA#020100401","020100401",10,4,1,"10_4_1",28,30,35,4,3,0
"AREA#020100402","020100402",10,4,2,"10_4_2",25,29,35,5,6,1
"AREA#020100403","020100403",10,4,3,"10_4_3",24,24,41,7,4,0
"AREA#020100404","020100404",10,4,4,"10_4_4",32,22,36,6,5,0
"AREA#020100405","020100405",10,4,5,"10_4_5",23,25,39,6,6,0
"AREA#020100406","020100406",10,4,6,"10_4_6",34,33,28,2,3,0
"AREA#020100407","020100407",10,4,7,"10_4_7",27,21,37,9,6,0
"AREA#020100408","020100408",10,4,8,"10_4_8",30,25,33,6,5,0
"AREA#020100409","020100409",10,4,9,"10_4_9",35,22,33,6,3,0
"AREA#020100501","020100501",10,5,1,"10_5_1",26,28,35,7,5,1
"AREA#020100502","020100502",10,5,2,"10_5_2",29,18,38,8,7,0
"AREA#020100503","020100503",10,5,3,"10_5_3",27,22,38,5,7,1
"AREA#020100504","020100504",10,5,4,"10_5_4",22,23,41,6,7,0
"AREA#020100505","020100505",10,5,5,"10_5_5",29,25,33,6,5,1
"AREA#020100506","020100506",10,5,6,"10_5_6",29,19,34,10,7,1
"AREA#020100507","020100507",10,5,7,"10_5_7",25,22,36,7,8,2
"AREA#020100508","020100508",10,5,8,"10_5_8",25,25,34,7,7,2
"AREA#020100509","020100509",10,5,9,"10_5_9",29,20,35,8,8,0
"AREA#020100510","020100510",10,5,10,"10_5_10",27,22,35,6,8,1
"AREA#020100511","020100511",10,5,11,"10_5_11",29,23,40,5,3,0
"AREA#020100512","020100512",10,5,12,"10_5_12",21,25,39,10,5,1
"AREA#020100513","020100513",10,5,13,"10_5_13",24,24,39,6,5,1
"AREA#020100514","020100514",10,5,14,"10_5_14",28,27,37,5,3,1
"AREA#020100601","020100601",10,6,1,"10_6_1",25,17,39,8,7,3
"AREA#020100602","020100602",10,6,2,"10_6_2",32,27,34,5,2,0
"AREA#020100603","020100603",10,6,3,"10_6_3",27,27,35,7,4,0
"AREA#020100604","020100604",10,6,4,"10_6_4",31,22,34,8,5,1
"AREA#020100605","020100605",10,6,5,"10_6_5",37,19,34,5,4,0
"AREA#020100606","020100606",10,6,6,"10_6_6",29,23,42,5,2,0
"AREA#020100607","020100607",10,6,7,"10_6_7",28,27,37,5,3,0
"AREA#020100608","020100608",10,6,8,"10_6_8",26,21,40,8,4,0
"AREA#020100609","020100609",10,6,9,"10_6_9",26,20,40,8,6,1
"AREA#020100610","020100610",10,6,10,"10_6_10",24,22,39,5,9,1
"AREA#020100611","020100611",10,6,11,"10_6_11",25,26,38,7,4,0
"AREA#020100612","020100612",10,6,12,"10_6_12",31,33,31,2,2,1
"AREA#020100613","020100613",10,6,13,"10_6_13",28,24,35,7,6,0
"AREA#020100701","020100701",10,7,1,"10_7_1",29,23,36,7,5,0
"AREA#020100702","020100702",10,7,2,"10_7_2",26,24,38,6,5,0
"AREA#020100703","020100703",10,7,3,"10_7_3",28,19,36,7,9,1
"AREA#020100704","020100704",10,7,4,"10_7_4",33,19,35,4,9,0
"AREA#020100705","020100705",10,7,5,"10_7_5",32,21,36,7,4,0
"AREA#020100706","020100706",10,7,6,"10_7_6",29,24,34,5,8,1
"AREA#020100707","020100707",10,7,7,"10_7_7",23,27,42,6,2,0
"AREA#020100708","020100708",10,7,8,"10_7_8",33,20,37,8,2,0
"AREA#020100709","020100709",10,7,9,"10_7_9",27,22,34,8,9,1
"AREA#020100710","020100710",10,7,10,"10_7_10",28,20,39,7,6,0
"AREA#020100801","020100801",10,8,1,"10_8_1",26,29,33,5,5,1
"AREA#020100802","020100802",10,8,2,"10_8_2",31,24,32,6,6,0
"AREA#020100803","020100803",10,8,3,"10_8_3",35,25,36,3,2,0
"AREA#020100804","020100804",10,8,4,"10_8_4",30,25,33,5,6,1
"AREA#020100805","020100805",10,8,5,"10_8_5",24,23,38,7,7,1
"AREA#020100806","020100806",10,8,6,"10_8_6",23,23,40,7,7,0
"AREA#020100807","020100807",10,8,7,"10_8_7",30,21,38,5,5,0
"AREA#020100808","020100808",10,8,8,"10_8_8",25,20,39,7,7,1
"AREA#020100809","020100809",10,8,9,"10_8_9",36,22,34,4,3,0
"AREA#020100901","020100901",10,9,1,"10_9_1",30,19,35,7,9,1
"AREA#020100902","020100902",10,9,2,"10_9_2",25,18,38,8,10,1
"AREA#020100903","020100903",10,9,3,"10_9_3",30,27,33,6,3,0
"AREA#020100904","020100904",10,9,4,"10_9_4",35,25,30,6,3,1
"AREA#020100905","020100905",10,9,5,"10_9_5",23,26,36,8,7,0
"AREA#020100906","020100906",10,9,6,"10_9_6",23,22,41,6,8,1
"AREA#020100907","020100907",10,9,7,"10_9_7",25,25,36,5,7,2
"AREA#020100908","020100908",10,9,8,"10_9_8",24,19,39,7,12,0
"AREA#020100909","020100909",10,9,9,"10_9_9",30,26,38,4,2,0
"AREA#020100910","020100910",10,9,10,"10_9_10",26,24,34,6,8,1
"AREA#020101001","020101001",10,10,1,"10_10_1",24,27,39,5,5,0
"AREA#020101002","020101002",10,10,2,"10_10_2",25,27,32,9,7,1
"AREA#020101003","020101003",10,10,3,"10_10_3",27,31,33,5,4,1
"AREA#020101004","020101004",10,10,4,"10_10_4",38,36,22,1,2,0
"AREA#020101005","020101005",10,10,5,"10_10_5",27,24,34,7,6,1
"AREA#020101006","020101006",10,10,6,"10_10_6",35,34,26,3,1,0
"AREA#020101007","020101007",10,10,7,"10_10_7",29,28,34,5,4,1
"AREA#020101008","020101008",10,10,8,"10_10_8",27,29,31,9,4,1
"AREA#020101009","020101009",10,10,9,"10_10_9",29,17,32,11,11,1
"AREA#020101010","020101010",10,10,10,"10_10_10",25,32,36,4,2,0
"AREA#020101011","020101011",10,10,11,"10_10_11",25,22,42,3,7,0
"AREA#020101012","020101012",10,10,12,"10_10_12",22,24,38,6,9,1
"AREA#020101101","020101101",10,11,1,"10_11_1",27,21,36,8,6,1
"AREA#020101102","020101102",10,11,2,"10_11_2",29,18,35,5,11,2
"AREA#020101103","020101103",10,11,3,"10_11_3",31,17,35,8,8,1
"AREA#020101104","020101104",10,11,4,"10_11_4",28,18,32,6,12,4
"AREA#020101105","020101105",10,11,5,"10_11_5",23,26,35,8,6,2
"AREA#020101106","020101106",10,11,6,"10_11_6",22,16,44,9,8,1
"AREA#020101107","020101107",10,11,7,"10_11_7",20,23,32,6,16,2
"AREA#020101108","020101108",10,11,8,"10_11_8",30,21,36,4,9,1
"AREA#020101109","020101109",10,11,9,"10_11_9",30,23,36,5,6,1
"AREA#020101110","020101110",10,11,10,"10_11_10",32,13,34,10,10,0
"AREA#020101111","020101111",10,11,11,"10_11_11",24,18,41,6,9,2
"AREA#020101201","020101201",10,12,1,"10_12_1",25,18,42,4,10,1
"AREA#020101202","020101202",10,12,2,"10_12_2",28,25,35,5,6,0
"AREA#020101203","020101203",10,12,3,"10_12_3",24,15,35,6,17,3
"AREA#020101204","020101204",10,12,4,"10_12_4",21,15,42,6,15,1
"AREA#020101205","020101205",10,12,5,"10_12_5",20,16,40,7,14,3
"AREA#020101206","020101206",10,12,6,"10_12_6",29,18,31,7,14,2
"AREA#020101207","020101207",10,12,7,"10_12_7",31,19,30,8,9,3
"AREA#020101208","020101208",10,12,8,"10_12_8",33,28,32,5,2,1
"AREA#020101209","020101209",10,12,9,"10_12_9",35,20,28,7,9,1
"AREA#020101210","020101210",10,12,10,"10_12_10",31,22,33,10,4,0
"AREA#020101301","020101301",10,13,1,"10_13_1",27,22,38,7,5,2
"AREA#020101302","020101302",10,13,2,"10_13_2",29,27,36,4,5,0
"AREA#020101303","020101303",10,13,3,"10_13_3",25,20,40,7,7,2
"AREA#020101304","020101304",10,13,4,"10_13_4",28,17,37,9,8,1
"AREA#020101305","020101305",10,13,5,"10_13_5",28,20,36,8,7,1
"AREA#020101306","020101306",10,13,6,"10_13_6",26,30,28,9,6,0
"AREA#020101307","020101307",10,13,7,"10_13_7",28,24,31,9,7,1
"AREA#020101308","020101308",10,13,8,"10_13_8",38,29,27,4,1,0
"AREA#020101309","020101309",10,13,9,"10_13_9",30,23,33,5,6,1
"AREA#020101310","020101310",10,13,10,"10_13_10",34,20,32,6,6,1
