;;;
;;;
;;;
1;163;86;100
Total;190;100;100
;;;
AREA # 020010809;90;;
;;;
Categorías;Casos;%;Acumulado %
0;35;13;13
1;226;87;100
Total;261;100;100
;;;
AREA # 020010810;91;;
;;;
Categorías;Casos;%;Acumulado %
0;31;16;16
1;158;84;100
Total;189;100;100
;;;
AREA # 020010901;92;;
;;;
Categorías;Casos;%;Acumulado %
0;20;12;12
1;141;88;100
Total;161;100;100
;;;
AREA # 020010902;93;;
;;;
Categorías;Casos;%;Acumulado %
0;32;17;17
1;161;83;100
Total;193;100;100
;;;
AREA # 020010903;94;;
;;;
Categorías;Casos;%;Acumulado %
0;39;20;20
1;159;80;100
Total;198;100;100
;;;
AREA # 020010904;95;;
;;;
Categorías;Casos;%;Acumulado %
0;22;16;16
1;112;84;100
Total;134;100;100
;;;
AREA # 020010905;96;;
;;;
Categorías;Casos;%;Acumulado %
0;46;24;24
1;146;76;100
Total;192;100;100
;;;
AREA # 020010906;97;;
;;;
Categorías;Casos;%;Acumulado %
0;35;20;20
1;142;80;100
Total;177;100;100
;;;
AREA # 020010907;98;;
;;;
Categorías;Casos;%;Acumulado %
0;57;20;20
1;235;80;100
Total;292;100;100
;;;
AREA # 020010908;99;;
;;;
Categorías;Casos;%;Acumulado %
0;24;16;16
1;125;84;100
Total;149;100;100
;;;
AREA # 020010909;100;;
;;;
Categorías;Casos;%;Acumulado %
0;50;21;21
1;191;79;100
Total;241;100;100
;;;
AREA # 020010910;101;;
;;;
Categorías;Casos;%;Acumulado %
0;18;16;16
1;97;84;100
Total;115;100;100
;;;
AREA # 020010911;102;;
;;;
Categorías;Casos;%;Acumulado %
0;21;18;18
1;98;82;100
Total;119;100;100
;;;
AREA # 020010912;103;;
;;;
Categorías;Casos;%;Acumulado %
0;14;18;18
1;66;83;100
Total;80;100;100
;;;
AREA # 020010913;104;;
;;;
Categorías;Casos;%;Acumulado %
0;12;6;6
1;191;94;100
Total;203;100;100
;;;
AREA # 020010914;105;;
;;;
Categorías;Casos;%;Acumulado %
0;30;20;20
1;118;80;100
Total;148;100;100
;;;
AREA # 020010915;106;;
;;;
Categorías;Casos;%;Acumulado %
0;20;17;17
1;99;83;100
Total;119;100;100
;;;
AREA # 020010916;107;;
;;;
Categorías;Casos;%;Acumulado %
0;145;41;41
1;207;59;100
Total;352;100;100
;;;
AREA # 020010917;108;;
;;;
Categorías;Casos;%;Acumulado %
0;28;14;14
1;179;86;100
Total;207;100;100
;;;
AREA # 020010918;109;;
;;;
Categorías;Casos;%;Acumulado %
0;45;26;26
1;128;74;100
Total;173;100;100
;;;
AREA # 020010919;110;;
;;;
Categorías;Casos;%;Acumulado %
0;13;21;21
1;49;79;100
Total;62;100;100
;;;
AREA # 020011001;111;;
;;;
Categorías;Casos;%;Acumulado %
0;15;12;12
1;106;88;100
Total;121;100;100
;;;
AREA # 020011002;112;;
;;;
Categorías;Casos;%;Acumulado %
0;32;11;11
1;248;89;100
Total;280;100;100
;;;
AREA # 020011003;113;;
;;;
Categorías;Casos;%;Acumulado %
0;56;11;11
1;460;89;100
Total;516;100;100
;;;
AREA # 020011004;114;;
;;;
Categorías;Casos;%;Acumulado %
0;23;10;10
1;200;90;100
Total;223;100;100
;;;
AREA # 020011005;115;;
;;;
Categorías;Casos;%;Acumulado %
0;24;10;10
1;212;90;100
Total;236;100;100
;;;
AREA # 020011006;116;;
;;;
Categorías;Casos;%;Acumulado %
0;29;11;11
1;236;89;100
Total;265;100;100
;;;
AREA # 020011007;117;;
;;;
Categorías;Casos;%;Acumulado %
0;29;18;18
1;130;82;100
Total;159;100;100
;;;
AREA # 020011008;118;;
;;;
Categorías;Casos;%;Acumulado %
0;20;13;13
1;134;87;100
Total;154;100;100
;;;
AREA # 020011009;119;;
;;;
Categorías;Casos;%;Acumulado %
0;20;12;12
1;142;88;100
Total;162;100;100
;;;
AREA # 020011010;120;;
;;;
Categorías;Casos;%;Acumulado %
0;84;28;28
1;212;72;100
Total;296;100;100
;;;
AREA # 020011011;121;;
;;;
Categorías;Casos;%;Acumulado %
0;39;11;11
1;312;89;100
Total;351;100;100
;;;
AREA # 020011012;122;;
;;;
Categorías;Casos;%;Acumulado %
0;38;13;13
1;254;87;100
Total;292;100;100
;;;
AREA # 020011013;123;;
;;;
Categorías;Casos;%;Acumulado %
0;48;14;14
1;299;86;100
Total;347;100;100
;;;
AREA # 020011014;124;;
;;;
Categorías;Casos;%;Acumulado %
0;24;21;21
1;88;79;100
Total;112;100;100
;;;
AREA # 020011101;125;;
;;;
Categorías;Casos;%;Acumulado %
0;43;19;19
1;182;81;100
Total;225;100;100
;;;
AREA # 020011102;126;;
;;;
Categorías;Casos;%;Acumulado %
0;53;19;19
1;231;81;100
Total;284;100;100
;;;
AREA # 020011103;127;;
;;;
Categorías;Casos;%;Acumulado %
0;42;21;21
1;159;79;100
Total;201;100;100
;;;
AREA # 020011104;128;;
;;;
Categorías;Casos;%;Acumulado %
0;67;20;20
1;272;80;100
Total;339;100;100
;;;
AREA # 020011105;129;;
;;;
Categorías;Casos;%;Acumulado %
0;61;24;24
1;191;76;100
Total;252;100;100
;;;
AREA # 020011106;130;;
;;;
Categorías;Casos;%;Acumulado %
0;19;9;9
1;192;91;100
Total;211;100;100
;;;
AREA # 020011107;131;;
;;;
Categorías;Casos;%;Acumulado %
0;54;18;18
1;242;82;100
Total;296;100;100
;;;
AREA # 020011108;132;;
;;;
Categorías;Casos;%;Acumulado %
0;50;14;14
1;304;86;100
Total;354;100;100
;;;
AREA # 020011109;133;;
;;;
Categorías;Casos;%;Acumulado %
0;38;17;17
1;181;83;100
Total;219;100;100
;;;
AREA # 020011110;134;;
;;;
Categorías;Casos;%;Acumulado %
0;38;14;14
1;238;86;100
Total;276;100;100
;;;
AREA # 020011111;135;;
;;;
Categorías;Casos;%;Acumulado %
0;17;13;13
1;109;87;100
Total;126;100;100
;;;
AREA # 020011112;136;;
;;;
Categorías;Casos;%;Acumulado %
0;76;19;19
1;333;81;100
Total;409;100;100
;;;
AREA # 020011113;137;;
;;;
Categorías;Casos;%;Acumulado %
0;37;13;13
1;259;88;100
Total;296;100;100
;;;
AREA # 020011114;138;;
;;;
Categorías;Casos;%;Acumulado %
0;39;13;13
1;253;87;100
Total;292;100;100
;;;
AREA # 020011201;139;;
;;;
Categorías;Casos;%;Acumulado %
0;23;19;19
1;97;81;100
Total;120;100;100
;;;
AREA # 020011202;140;;
;;;
Categorías;Casos;%;Acumulado %
0;13;10;10
1;116;90;100
Total;129;100;100
;;;
AREA # 020011203;141;;
;;;
Categorías;Casos;%;Acumulado %
0;80;25;25
1;240;75;100
Total;320;100;100
;;;
AREA # 020011204;142;;
;;;
Categorías;Casos;%;Acumulado %
0;48;23;23
1;163;77;100
Total;211;100;100
;;;
AREA # 020011205;143;;
;;;
Categorías;Casos;%;Acumulado %
0;48;17;17
1;228;83;100
Total;276;100;100
;;;
AREA # 020011206;144;;
;;;
Categorías;Casos;%;Acumulado %
0;41;20;20
1;163;80;100
Total;204;100;100
;;;
AREA # 020011207;145;;
;;;
Categorías;Casos;%;Acumulado %
0;79;23;23
1;272;77;100
Total;351;100;100
;;;
AREA # 020011208;146;;
;;;
Categorías;Casos;%;Acumulado %
0;20;15;15
1;115;85;100
Total;135;100;100
;;;
AREA # 020011209;147;;
;;;
Categorías;Casos;%;Acumulado %
0;74;21;21
1;287;80;100
Total;361;100;100
;;;
AREA # 020011210;148;;
;;;
Categorías;Casos;%;Acumulado %
0;19;18;18
1;85;82;100
Total;104;100;100
;;;
AREA # 020011211;149;;
;;;
Categorías;Casos;%;Acumulado %
0;28;20;20
1;114;80;100
Total;142;100;100
;;;
AREA # 020011212;150;;
;;;
Categorías;Casos;%;Acumulado %
0;17;18;18
1;79;82;100
Total;96;100;100
;;;
AREA # 020011301;151;;
;;;
Categorías;Casos;%;Acumulado %
0;45;27;27
1;120;73;100
Total;165;100;100
;;;
AREA # 020011302;152;;
;;;
Categorías;Casos;%;Acumulado %
0;11;18;18
1;49;82;100
Total;60;100;100
;;;
AREA # 020011303;153;;
;;;
Categorías;Casos;%;Acumulado %
0;2;10;10
1;19;90;100
Total;21;100;100
;;;
AREA # 020011304;154;;
;;;
Categorías;Casos;%;Acumulado %
0;20;15;15
1;117;85;100
Total;137;100;100
;;;
AREA # 020011305;155;;
;;;
Categorías;Casos;%;Acumulado %
0;23;15;15
1;131;85;100
Total;154;100;100
;;;
AREA # 020011306;156;;
;;;
Categorías;Casos;%;Acumulado %
0;16;16;16
1;84;84;100
Total;100;100;100
;;;
AREA # 020011307;157;;
;;;
Categorías;Casos;%;Acumulado %
0;42;17;17
1;199;83;100
Total;241;100;100
;;;
AREA # 020011308;158;;
;;;
Categorías;Casos;%;Acumulado %
0;28;18;18
1;128;82;100
Total;156;100;100
;;;
AREA # 020011309;159;;
;;;
Categorías;Casos;%;Acumulado %
0;14;9;9
1;144;91;100
Total;158;100;100
;;;
AREA # 020011310;160;;
;;;
Categorías;Casos;%;Acumulado %
0;37;16;16
1;198;84;100
Total;235;100;100
;;;
AREA # 020011311;161;;
;;;
Categorías;Casos;%;Acumulado %
0;16;11;11
1;126;89;100
Total;142;100;100
;;;
AREA # 020011312;162;;
;;;
Categorías;Casos;%;Acumulado %
0;14;10;10
1;124;90;100
Total;138;100;100
;;;
AREA # 020011313;163;;
;;;
Categorías;Casos;%;Acumulado %
0;19;18;18
1;89;82;100
Total;108;100;100
;;;
AREA # 020011314;164;;
;;;
Categorías;Casos;%;Acumulado %
0;529;80;80
1;134;20;100
Total;663;100;100
;;;
AREA # 020011315;165;;
;;;
Tabla vacía;;;
;;;
;;;
AREA # 020011401;166;;
;;;
Categorías;Casos;%;Acumulado %
0;62;24;24
1;196;76;100
Total;258;100;100
;;;
AREA # 020011402;167;;
;;;
Categorías;Casos;%;Acumulado %
0;30;13;13
1;203;87;100
Total;233;100;100
;;;
AREA # 020011403;168;;
;;;
Categorías;Casos;%;Acumulado %
0;45;23;23
1;151;77;100
Total;196;100;100
;;;
AREA # 020011404;169;;
;;;
Categorías;Casos;%;Acumulado %
0;3;8;8
1;36;92;100
Total;39;100;100
;;;
AREA # 020011405;170;;
;;;
Categorías;Casos;%;Acumulado %
0;53;23;23
1;176;77;100
Total;229;100;100
;;;
AREA # 020011406;171;;
;;;
Categorías;Casos;%;Acumulado %
0;61;21;21
1;234;79;100
Total;295;100;100
;;;
AREA # 020011407;172;;
;;;
Categorías;Casos;%;Acumulado %
0;27;12;12
1;192;88;100
Total;219;100;100
;;;
AREA # 020011408;173;;
;;;
Categorías;Casos;%;Acumulado %
0;54;27;27
1;144;73;100
Total;198;100;100
;;;
AREA # 020011409;174;;
;;;
Categorías;Casos;%;Acumulado %
0;38;15;15
1;208;85;100
Total;246;100;100
;;;
AREA # 020011410;175;;
;;;
Categorías;Casos;%;Acumulado %
0;30;14;14
1;190;86;100
Total;220;100;100
;;;
AREA # 020011411;176;;
;;;
Categorías;Casos;%;Acumulado %
0;46;18;18
1;207;82;100
Total;253;100;100
;;;
AREA # 020011412;177;;
;;;
