;;;
;;;
;;;
8;24;13;70
9;23;12;83
10;32;17;100
Total;186;100;100
;;;
Ignorado :;2;;
;;;
AREA # 020010802;83;;
;;;
Categorías;Casos;%;Acumulado %
1;44;8;8
2;25;5;12
3;33;6;18
4;60;11;29
5;36;6;36
6;53;10;45
7;63;11;57
8;74;13;70
9;86;16;85
10;81;15;100
Total;555;100;100
;;;
Ignorado :;12;;
;;;
AREA # 020010803;84;;
;;;
Categorías;Casos;%;Acumulado %
1;34;8;8
2;15;3;11
3;34;8;19
4;35;8;27
5;40;9;36
6;32;7;43
7;51;12;54
8;56;13;67
9;63;14;81
10;83;19;100
Total;443;100;100
;;;
Ignorado :;5;;
;;;
AREA # 020010804;85;;
;;;
Categorías;Casos;%;Acumulado %
1;27;9;9
2;13;5;14
3;23;8;22
4;23;8;30
5;29;10;40
6;31;11;51
7;24;8;59
8;30;10;69
9;44;15;85
10;44;15;100
Total;288;100;100
;;;
Ignorado :;7;;
;;;
AREA # 020010805;86;;
;;;
Categorías;Casos;%;Acumulado %
1;20;10;10
2;10;5;14
3;14;7;21
4;15;7;28
5;15;7;35
6;15;7;42
7;17;8;50
8;24;11;62
9;34;16;78
10;46;22;100
Total;210;100;100
;;;
Ignorado :;4;;
;;;
AREA # 020010806;87;;
;;;
Categorías;Casos;%;Acumulado %
1;51;9;9
2;23;4;13
3;34;6;19
4;59;11;30
5;39;7;37
6;52;9;46
7;47;8;55
8;63;11;66
9;94;17;83
10;97;17;100
Total;559;100;100
;;;
Ignorado :;13;;
;;;
AREA # 020010807;88;;
;;;
Categorías;Casos;%;Acumulado %
1;44;8;8
2;27;5;13
3;45;8;21
4;33;6;27
5;46;8;35
6;50;9;44
7;65;12;56
8;75;14;70
9;80;14;84
10;87;16;100
Total;552;100;100
;;;
Ignorado :;9;;
;;;
AREA # 020010808;89;;
;;;
Categorías;Casos;%;Acumulado %
1;16;9;9
2;6;3;12
3;11;6;18
4;17;9;27
5;19;10;37
6;21;11;48
7;21;11;59
8;23;12;71
9;25;13;85
10;29;15;100
Total;188;100;100
;;;
Ignorado :;1;;
;;;
AREA # 020010809;90;;
;;;
Categorías;Casos;%;Acumulado %
1;20;8;8
2;16;6;14
3;16;6;21
4;17;7;27
5;24;9;37
6;32;13;49
7;31;12;62
8;33;13;75
9;25;10;85
10;39;15;100
Total;253;100;100
;;;
Ignorado :;4;;
;;;
AREA # 020010810;91;;
;;;
Categorías;Casos;%;Acumulado %
1;15;8;8
2;5;3;11
3;11;6;17
4;19;10;27
5;12;7;34
6;17;9;43
7;19;10;54
8;18;10;63
9;34;19;82
10;33;18;100
Total;183;100;100
;;;
Ignorado :;3;;
;;;
AREA # 020010901;92;;
;;;
Categorías;Casos;%;Acumulado %
1;9;6;6
2;8;5;11
3;10;6;17
4;16;10;27
5;16;10;37
6;16;10;47
7;14;9;55
8;25;16;71
9;15;9;80
10;32;20;100
Total;161;100;100
;;;
AREA # 020010902;93;;
;;;
Categorías;Casos;%;Acumulado %
1;25;13;13
2;9;5;18
3;20;10;28
4;21;11;39
5;25;13;52
6;19;10;62
7;19;10;72
8;16;8;80
9;19;10;90
10;20;10;100
Total;193;100;100
;;;
AREA # 020010903;94;;
;;;
Categorías;Casos;%;Acumulado %
1;11;6;6
2;12;6;12
3;15;8;20
4;22;11;31
5;23;12;43
6;19;10;53
7;22;11;64
8;10;5;69
9;15;8;77
10;44;23;100
Total;193;100;100
;;;
Ignorado :;2;;
;;;
AREA # 020010904;95;;
;;;
Categorías;Casos;%;Acumulado %
1;14;10;10
2;7;5;16
3;14;10;26
4;12;9;35
5;7;5;40
6;14;10;51
7;13;10;60
8;13;10;70
9;26;19;90
10;14;10;100
Total;134;100;100
;;;
AREA # 020010905;96;;
;;;
Categorías;Casos;%;Acumulado %
1;23;12;12
2;19;10;22
3;15;8;30
4;15;8;38
5;19;10;48
6;20;11;58
7;25;13;72
8;19;10;82
9;12;6;88
10;23;12;100
Total;190;100;100
;;;
Ignorado :;2;;
;;;
AREA # 020010906;97;;
;;;
Categorías;Casos;%;Acumulado %
1;20;12;12
2;12;7;19
3;12;7;25
4;18;10;36
5;14;8;44
6;18;10;54
7;23;13;68
8;15;9;76
9;20;12;88
10;21;12;100
Total;173;100;100
;;;
Ignorado :;2;;
;;;
AREA # 020010907;98;;
;;;
Categorías;Casos;%;Acumulado %
1;26;9;9
2;13;5;14
3;18;6;20
4;25;9;29
5;24;9;38
6;32;11;49
7;25;9;58
8;27;10;68
9;50;18;86
10;40;14;100
Total;280;100;100
;;;
Ignorado :;8;;
;;;
AREA # 020010908;99;;
;;;
Categorías;Casos;%;Acumulado %
1;12;8;8
2;10;7;15
3;19;13;28
4;11;7;35
5;15;10;46
6;9;6;52
7;8;5;57
8;19;13;70
9;24;16;86
10;20;14;100
Total;147;100;100
;;;
Ignorado :;2;;
;;;
AREA # 020010909;100;;
;;;
Categorías;Casos;%;Acumulado %
1;26;11;11
2;11;5;16
3;14;6;22
4;15;6;28
5;26;11;39
6;25;11;50
7;28;12;62
8;25;11;72
9;26;11;83
10;39;17;100
Total;235;100;100
;;;
Ignorado :;2;;
;;;
AREA # 020010910;101;;
;;;
Categorías;Casos;%;Acumulado %
1;9;9;9
2;7;7;15
3;8;8;23
4;5;5;28
5;7;7;35
6;14;13;48
7;18;17;65
8;9;9;74
9;10;10;84
10;17;16;100
Total;104;100;100
;;;
Ignorado :;4;;
;;;
AREA # 020010911;102;;
;;;
Categorías;Casos;%;Acumulado %
1;7;6;6
2;8;7;13
3;7;6;19
4;4;3;23
5;12;10;33
6;10;9;42
7;11;10;51
8;17;15;66
9;19;17;83
10;20;17;100
Total;115;100;100
;;;
Ignorado :;1;;
;;;
AREA # 020010912;103;;
;;;
